Date,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground
9/17/1908,"Fort Myer, Virginia",Military - U.S. Army,,Demonstration,Wright Flyer III,,1,2,1,0
7/12/1912,"AtlantiCity, New Jersey",Military - U.S. Navy,,Test flight,Dirigible,,N/A,5,5,0
8/6/1913,"Victoria, British Columbia, Canada",Private,-,N/A,Curtiss seaplane,,N/A,1,1,0
9/9/1913,Over the North Sea,Military - German Navy,,N/A,Zeppelin L-1 (airship),,N/A,20,14,0
10/17/1913,"Near Johannisthal, Germany",Military - German Navy,,N/A,Zeppelin L-2 (airship),,N/A,30,30,0
3/5/1915,"Tienen, Belgium",Military - German Navy,,N/A,Zeppelin L-8 (airship),,N/A,41,21,0
9/3/1915,"Off Cuxhaven, Germany",Military - German Navy,,N/A,Zeppelin L-10 (airship),,N/A,19,19,0
7/28/1916,"Near Jambol, Bulgeria",Military - German Army,,N/A,Schutte-Lanz S-L-10 (airship),,N/A,20,20,0
9/24/1916,"Billericay, England",Military - German Navy,,N/A,Zeppelin L-32 (airship),,N/A,22,22,0
10/1/1916,"Potters Bar, England",Military - German Navy,,N/A,Zeppelin L-31 (airship),,N/A,19,19,0
11/21/1916,"Mainz, Germany",Military - German Army,,N/A,Super Zeppelin (airship),,N/A,28,27,0
11/28/1916,"Off West Hartlepool, England",Military - German Navy,,N/A,Zeppelin L-34 (airship),,N/A,20,20,0
3/4/1917,"Near Gent, Belgium",Military - German Army,,N/A,Airship,,N/A,20,20,0
3/30/1917,Off Northern Germany,Military - German Navy,,N/A,Schutte-Lanz S-L-9 (airship),,N/A,23,23,0
5/14/1917,"Near Texel Island, North Sea",Military - German Navy,,N/A,Zeppelin L-22 (airship),,N/A,21,21,0
6/14/1917,"Off Vlieland Island, North Sea",Military - German Navy,,N/A,Zeppelin L-43 (airship),,N/A,24,24,0
8/21/1917,Off western Denmark,Military - German Navy,,N/A,Zeppelin L-23 (airship),,N/A,18,18,0
10/20/1917,"Near Luneville, France",Military - German Navy,,N/A,Zeppelin L-44 (airship),,N/A,18,18,0
4/7/1918,Over the Mediterranean,Military - German Navy,,N/A,Zeppelin L-59 (airship),,N/A,23,23,0
5/10/1918,"Off Helgoland Island, Germany",Military - German Navy,,N/A,Zeppelin L-70 (airship),,N/A,22,22,0
8/11/1918,"Ameland Island, North Sea",Military - German Navy,,N/A,Zeppelin L-53 (airship),,N/A,19,19,0
12/16/1918,"Elizabeth, New Jersey",US Aerial Mail Service,,N/A,De Havilland DH-4,97,N/A,1,1,0
5/25/1919,"Cleveland, Ohio",US Aerial Mail Service,,N/A,De Havilland DH-4,61,N/A,1,1,0
7/19/1919,"Dix Run, Pennsylvania",US Aerial Mail Service,,N/A,De Havilland DH-4,82,N/A,1,1,0
10/2/1919,"Newcastle, England",Aircraft Transport and Travel,,N/A,De Havilland DH-4,,N/A,1,1,0
10/14/1919,"Cantonsville, Maryland",US Aerial Mail Service,,N/A,Curtiss R-4LM,32,N/A,1,1,0
10/20/1919,English Channel,Aircraft Transport and Travel,,N/A,De Havilland DH-4,G-EAHG,N/A,7,5,0
10/30/1919,"Long Valley, New Jersey",US Aerial Mail Service,,N/A,De Havilland DH.4,77,N/A,1,1,0
3/10/1920,"New Paris, Indiana",US Aerial Mail Service,,N/A,De Havilland DH-4,65,N/A,1,1,0
3/30/1920,"Newark, New Jersey",US Aerial Mail Service,,N/A,De Havilland DH-4,72,N/A,1,1,0
4/10/1920,"Newark, New Jersey",US Aerial Mail Service,,N/A,Curtiss R-4LM,49,N/A,2,1,0
4/11/1920,"Heller Field, New Jersey",US Aerial Mail Service,,N/A,Curtiss JN-4H,44,N/A,2,1,0
5/12/1920,"Oskaloosa, Iowa",US Aerial Mail Service,,N/A,De Havilland DH-4,79,N/A,2,1,0
6/6/1920,"Cleveland, Ohio",US Aerial Mail Service,,N/A,De Havilland DH-4,204,N/A,1,1,0
8/16/1920,"Bedford, England",By Air,,N/A,Armstrong-Whitworth F-K-8,G-EALW,N/A,1,1,0
8/16/1920,"College Park, Maryland",US Aerial Mail Service,,N/A,De Havilland DH-4,317,N/A,1,1,0
9/1/1920,"Morristown, New Jersey",US Aerial Mail Service,,N/A,Junkers JL-6,305,N/A,2,2,0
9/15/1920,"Pemberville, Ohio",US Aerial Mail Service,,N/A,Junkers F-13,308,N/A,2,2,0
9/27/1920,"Hillersburg, Pennsylvania",US Aerial Mail Service,,N/A,De Havilland DH-4,316,N/A,1,1,0
10/2/1920,"Off Port Vendres, France",Latecoere Airlines,,N/A,Salmson 2-A-2,F-ALAI,31,2,2,0
10/5/1920,"Valencia, Spain",Latecoere Airlines,,N/A,Breguet 14,F-ALTA,20,2,2,0
10/15/1920,"Batavia, Illinois",US Aerial Mail Service,,N/A,De Havilland DH-4,76,N/A,1,1,0
11/7/1920,"Tie Siding, Wyoming",US Aerial Mail Service,,N/A,De Havilland DH-4,,178,1,1,0
12/14/1920,"Cricklewood, England",Handley Page Transport,,N/A,Handley Page HP-16,G-EAMA,HP-25,8,4,0
12/24/1920,"Barcelona, Spain",Aeropostale,,N/A,Breguet 14,F-ALBO,N/A,1,1,0
2/3/1921,"Mendotta, Minnisota",US Aerial Mail Service,,N/A,De Havilland DH-4,130,N/A,1,1,0
2/9/1921,"La Crosse, Wisconsin",US Aerial Mail Service,,N/A,Junkers F-13,301,N/A,3,3,0
2/15/1921,Off Gibraltar,Aeropostale,,N/A,Breguet 14,F-ALBA,N/A,2,2,0
2/22/1921,"Elko, Nevada",US Aerial Mail Service,,N/A,De Havilland DH-4,67,N/A,1,1,0
4/6/1921,"Point Cook, Australia",Military - Royal Australian Air Force,,N/A,,H3021,N/A,2,1,0
4/21/1921,"Mitchel Field, NY",US Aerial Mail Service,,N/A,De Havilland DH-4,160,N/A,1,1,0
4/29/1921,"Cleveland, Ohio",US Aerial Mail Service,,N/A,De Havilland DH-4,196,N/A,1,1,0
5/17/1921,"Rock Springs, Wyoming",US Aerial Mail Service,,N/A,,176,N/A,1,1,0
7/16/1921,"San Francisco, California",US Aerial Mail Service,,N/A,De Havilland DH-4,222,N/A,1,1,0
8/14/1921,"Toulouse, France",Aeropostale,,N/A,Breguet 14,F-ALBI,N/A,2,2,0
8/24/1921,"River Humber, England",Military - Royal Airship Works,,N/A,Royal Airship Works ZR-2 (airship),R-38,R-38,46,46,1
9/6/1921,"Paris, France",Franco-Roumaine,,Varsovie - Strasbourg - Paris,Potez IX,F-ADCD,160,5,5,0
12/5/1921,"Near Murchinson River, Australia",West Australian Airways,,N/A,Bristol 28 Tourer,G-AUDI,6116,3,3,0
1/14/1922,"Paris, France",Handley Page Transport,,N/A,Handley Page O/10,G-EATN,HP-43,5,5,5
2/21/1922,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,N/A,Dirigible Roma (airship),,N/A,45,34,0
4/7/1922,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,,N/A,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7,7,0
4/8/1922,"Pao Ting Fou, China",N/A,N/A,N/A,,,N/A,17,17,0
4/13/1922,"Brooklands, England",Vickers,,N/A,Vickers Viking,G-EBBZ,N/A,3,3,0
10/1/1925,"Nittany Mt, Ohio",US Aerial Mail Service,,N/A,De Havilland DH-4,385,N/A,1,1,0
6/3/1922,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,,N/A,Bleriot Spad 27,F-CMAY,1254,3,3,0
7/26/1922,"Cadix, Spain",Grands Express Aeriens,,N/A,Breguet 14,,N/A,3,3,0
9/7/1922,"Indianapolis, Indiana",US Aerial Mail Service,,N/A,De Havilland DH-4,227,N/A,1,1,0
10/2/1922,"Venice, Italy",N/A,N/A,N/A,de Havilland DH-9,G-EAYT,N/A,4,4,0
10/25/1922,"Larache, Morocco",Grands Express Aeriens,,N/A,Breguet 14,,N/A,2,2,0
12/3/1922,"Fez, Morocco",Grands Express Aeriens,,N/A,Breguet 14,,N/A,1,1,0
1/10/1923,"Ajaccio, France",Amee de l'Air,,N/A,Lioré-et-Olivier H-13,F-AEIB,N/A,4,3,0
1/17/1923,"Barcelona, Spain",Grands Express Aeriens,,N/A,Breguet 14,F-ALJU,N/A,1,1,0
1/18/1923,"Cheyenne, Wyoming",US Aerial Mail Service,,N/A,De Havilland DH-4,223,N/A,1,1,0
2/26/1923,"Meadville, Pennsylvania",US Aerial Mail Service,,N/A,De Havilland DH-4,291,N/A,1,1,0
